alert_time,rule_name,severity,window_start,window_end,message
2026-03-10T10:01:10Z,high_error_rate,medium,2026-03-10T10:00:10Z,2026-03-10T10:01:10Z,error_rate 0.60 exceeded 0.30
2026-03-10T10:01:10Z,persistent_high_error,medium,2026-03-10T10:00:10Z,2026-03-10T10:01:10Z,error_rate stayed above 0.25 for 2 windows
2026-03-10T10:01:20Z,high_error_rate,medium,2026-03-10T10:00:20Z,2026-03-10T10:01:20Z,error_rate 0.77 exceeded 0.30
2026-03-10T10:01:20Z,login_fail_burst,high,2026-03-10T10:00:20Z,2026-03-10T10:01:20Z,"login_fail_count reached 10, threshold is 8"
2026-03-10T10:01:20Z,persistent_high_error,medium,2026-03-10T10:00:20Z,2026-03-10T10:01:20Z,error_rate stayed above 0.25 for 2 windows
2026-03-10T10:01:20Z,source_spread_spike,medium,2026-03-10T10:00:20Z,2026-03-10T10:01:20Z,unique_sources rose from 8 to 11 (1.38x)
2026-03-10T10:01:30Z,high_error_rate,medium,2026-03-10T10:00:30Z,2026-03-10T10:01:30Z,error_rate 0.83 exceeded 0.30
2026-03-10T10:01:30Z,login_fail_burst,high,2026-03-10T10:00:30Z,2026-03-10T10:01:30Z,"login_fail_count reached 10, threshold is 8"
2026-03-10T10:01:30Z,persistent_high_error,medium,2026-03-10T10:00:30Z,2026-03-10T10:01:30Z,error_rate stayed above 0.25 for 2 windows
2026-03-10T10:01:40Z,high_error_rate,medium,2026-03-10T10:00:40Z,2026-03-10T10:01:40Z,error_rate 0.93 exceeded 0.30
2026-03-10T10:01:40Z,login_fail_burst,high,2026-03-10T10:00:40Z,2026-03-10T10:01:40Z,"login_fail_count reached 12, threshold is 8"
2026-03-10T10:01:40Z,persistent_high_error,medium,2026-03-10T10:00:40Z,2026-03-10T10:01:40Z,error_rate stayed above 0.25 for 2 windows
2026-03-10T10:01:50Z,high_error_rate,medium,2026-03-10T10:00:50Z,2026-03-10T10:01:50Z,error_rate 0.93 exceeded 0.30
2026-03-10T10:01:50Z,login_fail_burst,high,2026-03-10T10:00:50Z,2026-03-10T10:01:50Z,"login_fail_count reached 12, threshold is 8"
2026-03-10T10:01:50Z,persistent_high_error,medium,2026-03-10T10:00:50Z,2026-03-10T10:01:50Z,error_rate stayed above 0.25 for 2 windows
2026-03-10T10:02:00Z,high_error_rate,medium,2026-03-10T10:01:00Z,2026-03-10T10:02:00Z,error_rate 0.87 exceeded 0.30
