window_start,window_end,event_count,error_count,error_rate,unique_sources,unique_targets,high_severity_count,login_fail_count,login_success_count,config_change_count,malware_alert_count,policy_denied_count
2026-03-11T09:00:00Z,2026-03-11T09:01:00Z,6,0,0.0,5,3,0,0,2,0,0,0
2026-03-11T09:00:10Z,2026-03-11T09:01:10Z,6,2,0.3333333333333333,6,3,0,2,1,0,0,0
2026-03-11T09:00:20Z,2026-03-11T09:01:20Z,7,4,0.5714285714285714,7,2,0,4,1,0,0,0
2026-03-11T09:00:30Z,2026-03-11T09:01:30Z,9,7,0.7777777777777778,9,2,0,7,1,0,0,0
2026-03-11T09:00:40Z,2026-03-11T09:01:40Z,10,9,0.9,10,2,0,9,0,0,0,0
2026-03-11T09:00:50Z,2026-03-11T09:01:50Z,10,9,0.9,9,1,0,9,1,0,0,0
2026-03-11T09:01:00Z,2026-03-11T09:02:00Z,10,9,0.9,9,1,0,9,1,0,0,0
2026-03-11T09:01:10Z,2026-03-11T09:02:10Z,8,7,0.875,8,1,0,7,1,0,0,0
2026-03-11T09:01:20Z,2026-03-11T09:02:20Z,8,5,0.625,7,3,2,5,1,2,0,0
2026-03-11T09:01:30Z,2026-03-11T09:02:30Z,7,3,0.42857142857142855,5,4,4,2,1,3,0,1
2026-03-11T09:01:40Z,2026-03-11T09:02:40Z,7,3,0.42857142857142855,3,4,6,0,1,3,0,3
2026-03-11T09:01:50Z,2026-03-11T09:02:50Z,6,3,0.5,2,3,6,0,0,3,0,3
2026-03-11T09:02:00Z,2026-03-11T09:03:00Z,7,3,0.42857142857142855,3,4,6,0,0,3,0,3
2026-03-11T09:02:10Z,2026-03-11T09:03:10Z,7,3,0.42857142857142855,3,4,6,0,0,3,0,3
2026-03-11T09:02:20Z,2026-03-11T09:03:20Z,5,3,0.6,3,4,4,0,0,1,0,3
2026-03-11T09:02:30Z,2026-03-11T09:03:30Z,4,3,0.75,3,4,3,0,0,0,1,2
2026-03-11T09:02:40Z,2026-03-11T09:03:40Z,4,3,0.75,2,2,3,0,0,0,3,0
2026-03-11T09:02:50Z,2026-03-11T09:03:50Z,5,3,0.6,3,3,3,0,1,0,3,0
2026-03-11T09:03:00Z,2026-03-11T09:04:00Z,5,3,0.6,3,3,3,0,1,0,3,0
2026-03-11T09:03:10Z,2026-03-11T09:04:10Z,5,3,0.6,3,3,3,0,1,0,3,0
2026-03-11T09:03:20Z,2026-03-11T09:04:20Z,5,3,0.6,3,3,3,0,1,0,3,0
2026-03-11T09:03:30Z,2026-03-11T09:04:30Z,4,2,0.5,3,3,2,0,1,0,2,0
2026-03-11T09:03:40Z,2026-03-11T09:04:40Z,2,0,0.0,2,2,0,0,1,0,0,0
2026-03-11T09:03:50Z,2026-03-11T09:04:50Z,1,0,0.0,1,1,0,0,0,0,0,0
